University,Department,Year,Enrollment,Graduation Rate (%),Dropout Rate (%),Funding Allocation (ZAR),Average GPA
University of KwaZulu-Natal,Health Science,2024,1423,93.17,8.41,4526081,3.36
University of Cape Town,Engineering,2016,2973,78.93,14.35,19982245,2.23
Wits University,Law,2017,913,76.72,24.3,10484204,3.12
University of KwaZulu-Natal,Humanities,2020,1355,86.97,11.75,3106939,2.15
University of Pretoria,Humanities,2017,2035,52.52,10.04,19210262,3.42
University of Johannesburg,Education,2021,727,55.37,17.72,8261737,2.79
University of Cape Town,Education,2023,2811,75.04,23.31,18569453,2.6
Rhodes University,Education,2020,566,77.15,26.73,18951935,3.55
Rhodes University,Engineering,2022,401,67.71,9.99,15854953,2.89
Stellenbosch University,Engineering,2016,2732,68.57,25.71,8248878,3.89
University of Johannesburg,Engineering,2018,744,82.41,11.55,5130046,3.82
Wits University,Law,2021,1246,94.91,13.26,14347292,2.29
Stellenbosch University,Education,2017,2336,54.46,13.59,14504764,2.74
Rhodes University,Law,2019,1704,65.15,26.13,6839318,3.95
Rhodes University,Health Science,2018,2116,63.26,8.02,18483109,2.95
Stellenbosch University,Humanities,2020,405,71.42,23.92,17545819,3.12
University of Cape Town,Humanities,2020,985,57.7,27.95,11740404,2.05
Wits University,Health Science,2018,1304,76.97,15.26,10788401,2.14
University of KwaZulu-Natal,Engineering,2016,2538,71.18,22.1,9342356,3.69
University of Cape Town,Education,2023,2503,64.64,24.14,13628100,2.06
Stellenbosch University,Education,2016,614,65.88,27.93,13226075,3.81
University of Cape Town,Law,2016,1879,72.08,7.39,18934546,3.18
University of Johannesburg,Law,2016,1626,72.44,13.14,6837851,2.76
University of Cape Town,Education,2017,2898,58.59,25.54,12617744,3.33
University of KwaZulu-Natal,Health Science,2022,305,80.11,27.02,13747743,2.31
Stellenbosch University,Health Science,2019,2521,63.1,16.69,13012618,2.1
Stellenbosch University,Humanities,2024,2596,72.11,10.27,15719596,2.36
Stellenbosch University,Health Science,2023,2791,92.7,10.35,3115493,3.41
University of Pretoria,Engineering,2023,150,65.4,10.82,10766688,2.41
Rhodes University,Education,2019,860,82.24,21.24,10973328,2.33
University of KwaZulu-Natal,Education,2021,303,63.12,9.85,596579,2.37
Wits University,Humanities,2019,2300,77.67,25.12,19497172,2.84
University of Pretoria,Law,2020,285,75.38,11.64,3445051,3.43
University of Pretoria,Engineering,2024,1343,69.67,22.3,9540159,3.54
University of Pretoria,Education,2018,134,76.29,29.29,19882029,2.5
University of KwaZulu-Natal,Education,2020,527,75.13,22.37,3348509,3.43
Stellenbosch University,Health Science,2017,882,81.92,18.11,12358382,2.25
University of Johannesburg,Health Science,2016,2702,80.84,19.36,3165994,2.47
University of KwaZulu-Natal,Health Science,2023,1591,72.94,13.7,13390249,3.2
University of Cape Town,Health Science,2024,466,58.42,5.97,10884946,3.33
University of Pretoria,Engineering,2016,2318,84.28,13.46,3139153,3.56
University of KwaZulu-Natal,Humanities,2015,1204,89.54,28.2,19775370,3.4
Rhodes University,Engineering,2021,1011,91.0,15.71,1861808,3.93
University of Cape Town,Law,2018,1284,93.71,7.01,18639507,3.65
Wits University,Health Science,2021,1763,58.15,24.57,7235723,3.68
University of Cape Town,Law,2018,2008,83.68,12.51,10610776,2.37
University of Pretoria,Education,2017,1200,65.63,26.45,19106016,3.05
University of Johannesburg,Humanities,2019,1251,69.41,27.59,12708005,2.2
Rhodes University,Engineering,2020,583,65.09,17.11,17825793,3.65
University of Johannesburg,Health Science,2017,2188,55.42,6.7,13581336,3.41
University of Pretoria,Humanities,2020,1956,71.91,27.11,5100282,3.6
University of KwaZulu-Natal,Engineering,2020,1373,88.54,15.08,12370561,2.17
University of Cape Town,Law,2024,702,91.69,18.7,8097132,3.06
University of Cape Town,Health Science,2022,2875,70.84,11.88,17032181,2.1
University of KwaZulu-Natal,Engineering,2019,2711,86.56,17.98,5632630,3.43
University of Pretoria,Health Science,2018,1918,59.55,24.16,7230227,3.91
University of Johannesburg,Law,2021,1177,88.18,21.95,10338273,2.0
University of Pretoria,Health Science,2022,811,67.9,27.7,1501230,3.33
Stellenbosch University,Education,2016,1449,60.78,24.79,10690483,3.09
University of Pretoria,Humanities,2020,2677,80.2,10.84,9165321,2.08
Wits University,Law,2018,2274,63.93,10.32,4558092,4.0
University of Pretoria,Law,2021,922,72.8,29.15,19395812,3.83
University of Pretoria,Health Science,2022,2026,74.64,26.24,9416032,2.81
Wits University,Humanities,2018,576,76.16,18.67,3115102,3.44
University of Johannesburg,Engineering,2021,1875,71.83,19.35,7902876,3.62
